occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;type
5b524eebb2a24544628b25d6aaceab1b73e6c2ee;f07e616a91a8acba0726537554d7b4577cd81ef2;0359ed894e36a5efe193f40734d31107;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::package.json::::devDependencies::::fs-extra::::fs-extra:^4.0.1 <-> material-ui::::packages/material-ui-icons/package.json::::devDependencies::::fs-extra::::fs-extra:^4.0.1;package.json;material-ui::::package.json::::devDependencies::::fs-extra(location: 131);git show 5b524eebb2a24544628b25d6aaceab1b73e6c2ee -- package.json;yes;library version changed;version number
0771cd01b3ed67128e2fce03c3777844e6bd70af;c2e4f62a449a87efcbe1709cfce88286d525aedd;cc30bd871c368d14dedd099ec7fa97a0;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;material-ui::::package.json::::scripts::::prebuild::::rimraf build <-> material-ui::::packages/material-ui-icons/package.json::::scripts::::prebuild::::rimraf build;packages/material-ui-icons/package.json;material-ui::::packages/material-ui-icons/package.json::::scripts::::prebuild(location: 25);git show 0771cd01b3ed67128e2fce03c3777844e6bd70af -- packages/material-ui-icons/package.json;yes;command changed for prebuild;command
12b3a5d54eef4507b50a07ff7b2e27bb011d7b8f;4ff701d1ec3246c790279185e7195aaa17efaa71;01cc33c4e47db5195b388d90be9d4242;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::package.json::::version::::version:4.1.0 <-> material-ui::::packages/material-ui-types/package.json::::version::::version:4.1.0;package.json;material-ui::::package.json::::version(location: 2);git show 12b3a5d54eef4507b50a07ff7b2e27bb011d7b8f -- package.json;yes;file version changed;version number
8473529e4593b5f83720dfca3f703d0213a39811;831171b8e5ff051308ff30622cd97fa90f8e80ef;e6cd783a1959492f58bfded4de09e1e9;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::packages/material-ui-icons/package.json::::version::::version:4.0.1 <-> material-ui::::packages/material-ui-styles/package.json::::version::::version:4.0.1;packages/material-ui-styles/package.json;material-ui::::packages/material-ui-styles/package.json::::version(location: 3);git show 8473529e4593b5f83720dfca3f703d0213a39811 -- packages/material-ui-styles/package.json;yes;file version changed;version number
7820fc1163b937df2bdc0995934c6313b878b0f3;66f47c2e87b58d21f62c156eb1ff0524bea80cf3;1e64678aed8e3f73b4a3ba0597cbde13;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::package.json::::version::::version:4.9.6 <-> material-ui::::packages/material-ui-system/package.json::::version::::version:4.9.6;package.json;material-ui::::package.json::::version(location: 2);git show 7820fc1163b937df2bdc0995934c6313b878b0f3 -- package.json;yes;file version changed;version number
3e558c260ddae9fc4d94ebd5e1110d3c6df75aef;459866732cf5f920e7d41463767d4d7d45ce2d8c;6be011e17b967b7eac0272f8a60168a4;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::docs/package.json::::devDependencies::::file-loader::::file-loader:^0.11.2 <-> material-ui::::package.json::::devDependencies::::file-loader::::file-loader:^0.11.2;docs/package.json;material-ui::::docs/package.json::::devDependencies::::file-loader(location: 22);git show 3e558c260ddae9fc4d94ebd5e1110d3c6df75aef -- docs/package.json;yes;library version changed;version number
9f2641985b07c1e14e596b35be061007e29de44f;b926044b3220304b2cc21c40bc22303bc54c9182;9bca21b87767f0087461cff9ad16a19c;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::packages/material-ui-icons/package.json::::version::::version:4.0.0-alpha.1 <-> material-ui::::packages/material-ui/package.json::::version::::version:4.0.0-alpha.1;packages/material-ui/package.json;material-ui::::packages/material-ui/package.json::::version(location: 5);git show 9f2641985b07c1e14e596b35be061007e29de44f -- packages/material-ui/package.json;yes;file version changed;version number
33046bd07823737c21287958c64fd7fe52791ef8;4bd4deee620ca6463989b68f3f6d594d61709b8a;e1c927c97fa370e472d5361e4220f779;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::example/package.json::::version::::version:0.8.0 <-> material-ui::::package.json::::version::::version:0.8.0;package.json;material-ui::::package.json::::version(location: 4);git show 33046bd07823737c21287958c64fd7fe52791ef8 -- package.json;yes;file version changed;version number
a05f0e941423eaf1c68897ae4b012902d5d27e1c;c5618c901182f3cba55666a19df3c4ace2c9e45a;a90648efc3ac8618ccf7d46021963cb4;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::docs/package.json::::devDependencies::::eslint-plugin-react::::eslint-plugin-react:^4.0.0 <-> material-ui::::package.json::::devDependencies::::eslint-plugin-react::::eslint-plugin-react:^4.0.0;package.json;material-ui::::package.json::::devDependencies::::eslint-plugin-react(location: 79);git show a05f0e941423eaf1c68897ae4b012902d5d27e1c -- package.json;yes;library version changed;version number
6259fa8e5c9ebf124a738f682d16fea62c43ddfc;4b81427ea4c393f248efcce92a1a2dccac50aa3b;5b7a83007a641d95fd9593d2db7d870e;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::packages/mui-icons-material/package.json::::version::::version:5.2.5 <-> material-ui::::packages/mui-material/package.json::::version::::version:5.2.5;packages/mui-material/package.json;material-ui::::packages/mui-material/package.json::::version(location: 3);git show 6259fa8e5c9ebf124a738f682d16fea62c43ddfc -- packages/mui-material/package.json;yes;file version changed;version number
fa676e4680cb867814f1f001b97cc579ae0a6d0c;76c3353436bf41987339a653c9b4017611f3afeb;3ae52548b1a166ced714970b9b15821b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::packages/mui-icons-material/package.json::::version::::version:5.0.1 <-> material-ui::::packages/mui-utils/package.json::::version::::version:5.0.1;packages/mui-icons-material/package.json;material-ui::::packages/mui-icons-material/package.json::::version(location: 3);git show fa676e4680cb867814f1f001b97cc579ae0a6d0c -- packages/mui-icons-material/package.json;yes;file version changed;version number
964d32487491615c0d33f474674527e862343e06;b163f5100bbd66aba68415246a03ac516dca2669;a57edf320d26679fb664dfe8fc625e89;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::package.json::::dependencies::::recompose::::recompose:^0.24.0 <-> material-ui::::packages/material-ui-icons/package.json::::dependencies::::recompose::::recompose:^0.24.0;package.json;material-ui::::package.json::::dependencies::::recompose(location: 79);git show 964d32487491615c0d33f474674527e862343e06 -- package.json;yes;library version changed;version number
9596b2502f0a67351256d1a64b2a47b4defe0cba;aac10dad01f7347c45c7bf0d7c1c4d1322888d6d;12238ea0cf384bb5cc54b11ea352d47f;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;material-ui::::packages/material-ui-icons/package.json::::scripts::::release::::yarn build && npm publish build --tag latest <-> material-ui::::packages/material-ui/package.json::::scripts::::release::::yarn build && npm publish build --tag latest;packages/material-ui/package.json;material-ui::::packages/material-ui/package.json::::scripts::::release(location: 37);git show 9596b2502f0a67351256d1a64b2a47b4defe0cba -- packages/material-ui/package.json;yes;command changed for release;command
